e.g. Golden Retriever,e.g. DOG,e.g. SHORT/MEDIUM,e.g. FALSE,e.g. MINUTES,e.g. 60,e.g. 75
name,petType,coats,undercoatRemoval,durationUnit,basicGroomingDuration,fullGroomingDuration
Alaskan Klee Kai,DOG,MEDIUM,TRUE,MINUTES,75,135
Alaskan Malamute,DOG,MEDIUM ,TRUE,MINUTES,90,150
American Water Spaniel,DOG,MEDIUM,FALSE,MINUTES,75,135
Australian Cattle Dog,DOG,SHORT,FALSE,MINUTES,75,135
Australian Kelpie,DOG,SHORT,TRUE,MINUTES,75,135
Australian Shepherd,DOG,MEDIUM,TRUE,MINUTES,75,135
Basenji,DOG,SHORT ,FALSE,MINUTES,75,135
Basset Hound,DOG,SHORT,FALSE,MINUTES,75,135
Beagle,DOG,SHORT,FALSE,MINUTES,75,135
Bearded Collie,DOG,LONG,TRUE,MINUTES,75,135
Belgian Sheepdog,DOG,MEDIUM/LONG,TRUE,MINUTES,75,135
Bernedoodle,DOG,MEDIUM/LONG,FALSE,MINUTES,75,135
Bernese Mountain Dog,DOG,MEDIUM,TRUE,MINUTES,75,135
Bichon Frise,DOG,MEDIUM/LONG,FALSE,MINUTES,75,135
Bichon Havanese,DOG,LONG,FALSE,MINUTES,75,135
Bloodhound,DOG,SHORT,FALSE,MINUTES,75,135
Border Collie,DOG,MEDIUM,FALSE,MINUTES,75,135
Boston Boxer,DOG,SHORT,FALSE,MINUTES,75,135
Boxer,DOG,SHORT,FALSE,MINUTES,75,135
Bulldog,DOG,SHORT,FALSE,MINUTES,75,135
Cane Corso,DOG,SHORT,FALSE,MINUTES,75,135
Cardigan Welsh Corgi,DOG,SHORT,TRUE,MINUTES,75,135
Cavachon,DOG,MEDIUM,FALSE,MINUTES,75,135
Cavalier King Charles Spaniel,DOG,SHORT/MEDIUM,FALSE,MINUTES,75,135
Cavapoo,DOG,MEDIUM/LONG,FALSE,MINUTES,75,135
Chi Chi,DOG,SHORT/MEDIUM,FALSE,MINUTES,75,135
Chihuahua,DOG,SHORT,TRUE,MINUTES,60,120
Chinese Crested Dog,DOG,SHORT/LONG,FALSE,MINUTES,75,135
Chow Chow,DOG,MEDIUM,TRUE,MINUTES,90,150
Cockalier,DOG,SHORT/MEDIUM ,FALSE,MINUTES,75,135
Cockapoo,DOG,SHORT/MEDIUM ,FALSE,MINUTES,75,135
Cocker Spaniel,DOG,MEDIUM/LONG,FALSE,MINUTES,75,135
Collie,DOG,MEDIUM/LONG ,TRUE,MINUTES,75,135
Coton de tulear,DOG,LONG,FALSE,MINUTES,75,135
Curly-Coated Retirever,DOG,SHORT,FALSE,MINUTES,75,135
Dachshund (Light and Miniature),DOG,SHORT,TRUE,MINUTES,75,135
Dalmatian,DOG,SHORT,FALSE,MINUTES,75,135
Doberman Pinscher,DOG,SHORT,FALSE,MINUTES,75,135
Doxie,DOG,SHORT,FALSE,MINUTES,75,135
English Cocker Spaniel,DOG,LONG,FALSE,MINUTES,75,135
English Foxhound,DOG,SHORT,FALSE,MINUTES,75,135
English Setter,DOG,MEDIUM/LONG,FALSE,MINUTES,75,135
English Springer Spaniel,DOG,MEDIUM/LONG,FALSE,MINUTES,75,135
Flat-Coated Retriever,DOG,MEDIUM/LONG ,FALSE,MINUTES,75,135
French bulldog,DOG,SHORT,FALSE,MINUTES,75,135
French Spaniel,DOG,MEDIUM/LONG ,FALSE,MINUTES,75,135
German longhaired Pointer,DOG,SHORT,FALSE,MINUTES,75,135
German Pinscher,DOG,SHORT,FALSE,MINUTES,75,135
German Shepherd Dog,DOG,SHORT,FALSE,MINUTES,75,135
Giant Schnauzer,DOG,MEDIUM/LONG,FALSE,MINUTES,75,135
Golden Retriever,DOG,SHORT,TRUE,MINUTES,75,135
Goldendoodle,DOG,SHORT/MEDIUM,FALSE,MINUTES,75,135
Great Dane,DOG,SHORT,FALSE,MINUTES,75,135
Great Pyrenees,DOG,MEDIUM,TRUE,MINUTES,75,135
Greyhound,DOG,SHORT,FALSE,MINUTES,75,135
Havanese,DOG,LONG,FALSE,MINUTES,75,135
Havapoo,DOG,MEDIUM,FALSE,MINUTES,75,135
Icelandic Sheepdog,DOG,LONG,TRUE,MINUTES,75,135
Irish Red and White Setter,DOG,MEDIUM,FALSE,MINUTES,75,135
Irish Setter,DOG,MEDIUM,FALSE,MINUTES,75,135
Irish Water Spaniel,DOG,LONG,FALSE,MINUTES,75,135
Italian Greyhound,DOG,SHORT,FALSE,MINUTES,75,135
Japanese Spitz,DOG,LONG,TRUE,MINUTES,75,135
Keeshond,DOG,MEDIUM/LONG,TRUE,MINUTES,75,135
Lab Pointer,DOG,SHORT,FALSE,MINUTES,75,135
Labradoodle,DOG,SHORT,FALSE,MINUTES,75,135
Labrador Retriever,DOG,SHORT,FALSE,MINUTES,75,135
Lagotto romagnolo,DOG,MEDIUM,FALSE,MINUTES,75,135
Lhasa Apso,DOG,LONG,FALSE,MINUTES,75,135
Maltese,DOG,MEDIUM/LONG,FALSE,MINUTES,75,135
Maltese shih Tzu,DOG,MEDIUM/LONG ,FALSE,MINUTES,75,135
